"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","test_delete_list_with_id_parametrizer[TC027: delete_list_with_id_not_exists]","tests.api-planka.list","Thu Dec 04 02:32:36 UTC 2025","passed","Thu Dec 04 02:32:36 UTC 2025","","test_delete_list","",""
"","5","test_get_list_with_token[TC019: get_list_with_invalid_token]","tests.api-planka.list","Thu Dec 04 02:32:36 UTC 2025","passed","Thu Dec 04 02:32:36 UTC 2025","","test_get_list","",""
"","8","test_create_list_with_id_board_parametrizer[TC015: create_list_with_id_board_not_exists]","tests.api-planka.list","Thu Dec 04 02:32:36 UTC 2025","passed","Thu Dec 04 02:32:36 UTC 2025","","test_post_list","",""
"","39","test_post_board_validate_attribute_with_position[TC008: create_board_with_attribute_position_large]","tests.api-planka.board","Thu Dec 04 02:32:34 UTC 2025","skipped","Thu Dec 04 02:32:34 UTC 2025","","test_post_board","",""
"","7","test_post_board_validate_attribute_with_position[TC006: create_board_with_attribute_position_negative]","tests.api-planka.board","Thu Dec 04 02:32:34 UTC 2025","passed","Thu Dec 04 02:32:34 UTC 2025","","test_post_board","",""
"","11","test_post_card_validate_attribute_with_position[TC009: create_card_with_attribute_position_invalid]","tests.api-planka.card","Thu Dec 04 02:32:35 UTC 2025","passed","Thu Dec 04 02:32:35 UTC 2025","","test_post_card","",""
"","7","test_delete_card_with_id_card[TC027: delete_card_with_invalid_id_type]","tests.api-planka.card","Thu Dec 04 02:32:35 UTC 2025","passed","Thu Dec 04 02:32:35 UTC 2025","","test_delete_card","",""
"","18","test_create_list_with_token[TC001: create_list_with_valid_token]","tests.api-planka.list","Thu Dec 04 02:32:36 UTC 2025","passed","Thu Dec 04 02:32:36 UTC 2025","","test_post_list","",""
"","14","test_TC003_validate_project_creation_response_payload","tests.api-planka.project_management","Thu Dec 04 02:32:36 UTC 2025","passed","Thu Dec 04 02:32:36 UTC 2025","","test_post_project","",""
"","13","test_delete_board_with_board_id[TC022: delete_board_with_nonexistent_id]","tests.api-planka.board","Thu Dec 04 02:32:34 UTC 2025","passed","Thu Dec 04 02:32:34 UTC 2025","","test_delete_board","",""
"","13","test_post_card_validate_attribute_with_position[TC010: create_card_with_attribute_position_value_negative]","tests.api-planka.card","Thu Dec 04 02:32:35 UTC 2025","passed","Thu Dec 04 02:32:35 UTC 2025","","test_post_card","",""
"","7","test_get_list_with_id_list_parametrizer[TC023: get_list_with_empty_list_id]","tests.api-planka.list","Thu Dec 04 02:32:36 UTC 2025","skipped","Thu Dec 04 02:32:36 UTC 2025","","test_get_list","",""
"","9","test_post_board_validate_attribute_with_name[TC003: create_board_with_attribute_name_empty]","tests.api-planka.board","Thu Dec 04 02:32:34 UTC 2025","passed","Thu Dec 04 02:32:34 UTC 2025","","test_post_board","",""
"","8","test_create_project_with_attribute_type_parametrizer[TC008 : create_project_with_type_invalid]","tests.api-planka.project_management","Thu Dec 04 02:32:37 UTC 2025","passed","Thu Dec 04 02:32:37 UTC 2025","","test_post_project","",""
"","8","test_get_card_with_token[TC018: get_card_with_invalid_token]","tests.api-planka.card","Thu Dec 04 02:32:35 UTC 2025","passed","Thu Dec 04 02:32:35 UTC 2025","","test_get_card","",""
